Pulled Pork 1/2 LB;8oz Shack Sauce (PXEG5HJ4VPN1J) $1.56;14.58;1.56
Pulled Pork 3/4 LB;8oz Shack Sauce (PXEG5HJ4VPN1J) $1.56;25.41;1.56
Pulled Pork 3/4 LB;8oz Shack Sauce (PXEG5HJ4VPN1J) $1.56;21.87;1.56
Sloppy Hog Sandwich;8oz Shack Sauce (PXEG5HJ4VPN1J) $1.56;11.43;1.56
