Reg Chopped Prime Angus Beef Brisket Sandwich 1/3 Lb;"No Sauce (FZ7MZM65H1F9T) $0.00
8oz Shack Sauce (PXEG5HJ4VPN1J) $1.56";14.13;1.56
1lb Sliced Prime Angus Brisket;8oz Shack Sauce (PXEG5HJ4VPN1J) $1.56;32.22;1.56
1lb Sliced Prime Angus Brisket;8oz Shack Sauce (PXEG5HJ4VPN1J) $1.56;32.22;1.56
1lb Sliced Prime Angus Brisket;8oz Shack Sauce (PXEG5HJ4VPN1J) $1.56;32.22;1.56
1/2 Lb Certified Angus Beef Brisket;"Mixed Moist & Lean  (JGRW4S7T6XEPC) $0.00
8oz Shack Sauce (PXEG5HJ4VPN1J) $1.56";19.68;1.56
1/2 Lb certified Angus Beef Brisket Burnt Ends;"Alabama Sauce (GQQ2T85CTFNAT) $0.00
8oz Shack Sauce (PXEG5HJ4VPN1J) $1.56";19.69;1.56
